tppx,wppx,tpp,wpp,baseline
1.7472500801086426,2.6128480434417725,2.6209003925323486,2.4099700450897217,0.205984428524971
1.652988314628601,2.2524921894073486,1.998014211654663,1.747900128364563,0.24049705266952515
1.4319729804992676,1.8805360794067383,1.6156896352767944,1.399794578552246,0.2697209119796753
1.2609286308288574,1.6360152959823608,1.3821847438812256,1.2122962474822998,0.3136763572692871
1.1417306661605835,1.4645559787750244,1.2286527156829834,1.092991828918457,0.35075488686561584
1.0540714263916016,1.3368446826934814,1.1190649271011353,1.0094197988510132,0.3818328082561493
0.9892334342002869,1.2374985218048096,1.0387556552886963,0.94708651304245,0.40509170293807983
0.9380995631217957,1.158045768737793,0.9783264398574829,0.900028645992279,0.4236568510532379
0.8969048261642456,1.092549443244934,0.9312988519668579,0.8614305853843689,0.4380647540092468
0.8592388033866882,1.0354119539260864,0.890087902545929,0.8270646333694458,0.44598978757858276
