wpp,wppx
43.3095998,64.26986241
58.7760306,57.77875716
0,24.88213724
0,24.84800423
24.90899636,0
35.18478496,51.70340681
35.48117155,41.22055675
0,33.50357508
0,10.48967278
0,0
45.17717507,68.12005224
18.03038105,61.89727938
1.785712858,42.47769619
11.86292258,34.08410853
3.539789325,29.13861612
67.46749576,69.35622318
51.5776699,64.28407086
35.25309917,58.80740233
49.60893855,52.19844815
57.25885272,43.85786802
0,27.82608696
0,27.17065868
0,0
0,0
0,0
