tppx,wppx,tpp,wpp,baseline
8.897123336791992,3.4001338481903076,14.784843444824219,11.781207084655762,5.729825019836426
7.201250076293945,3.620431423187256,11.231307983398438,9.352675437927246,5.61760139465332
5.982997417449951,3.490429162979126,9.102750778198242,7.8503289222717285,4.82187557220459
5.273818492889404,3.1915225982666016,7.687614440917969,6.748297691345215,4.190107345581055
4.753401279449463,2.942732095718384,6.6844377517700195,5.932984828948975,3.7131361961364746
4.36392068862915,2.7555911540985107,5.980679988861084,5.344424247741699,3.397594451904297
4.0483293533325195,2.5842666625976562,5.434122562408447,4.888760566711426,3.1320993900299072
3.775655746459961,2.4612629413604736,4.988224983215332,4.511033535003662,2.938485622406006
3.5391407012939453,2.347128391265869,4.616980075836182,4.192809581756592,2.78521990776062
3.332575798034668,2.2597649097442627,4.302631378173828,3.9208779335021973,2.6540472507476807
