tppx,wppx,tpp,wpp,baseline
45.064056396484375,55.49016571044922,14.517650604248047,35.34946060180664,9.536620140075684
37.15477752685547,43.77908706665039,14.106058120727539,34.616546630859375,8.654356956481934
31.619295120239258,36.87773513793945,13.199880599975586,30.12250328063965,8.679255485534668
27.8924560546875,32.1591796875,13.102977752685547,26.862136840820312,8.553959846496582
25.211912155151367,28.89083480834961,12.883841514587402,24.161441802978516,8.262150764465332
23.075809478759766,26.353609085083008,12.523967742919922,21.95442008972168,7.87843656539917
21.36296844482422,24.300006866455078,12.054082870483398,20.226675033569336,7.738789081573486
19.938262939453125,22.59603500366211,11.590630531311035,18.850299835205078,7.69587516784668
18.730016708374023,21.176231384277344,11.201001167297363,17.730478286743164,7.698230266571045
17.73284912109375,19.942703247070312,10.913887023925781,16.81522560119629,7.7369794845581055
