tppx,wppx,tpp,wpp,baseline
26.238218307495117,32.154808044433594,14.517650604248047,35.34946060180664,9.536620140075684
27.058448791503906,30.592376708984375,14.106058120727539,34.616546630859375,8.654356956481934
24.819616317749023,27.3941707611084,13.199880599975586,30.12250328063965,8.679255485534668
22.626523971557617,24.438016891479492,13.102977752685547,26.862136840820312,8.553959846496582
20.747821807861328,22.133087158203125,12.883841514587402,24.161441802978516,8.262150764465332
19.109737396240234,20.203462600708008,12.523967742919922,21.95442008972168,7.87843656539917
17.754844665527344,18.64303970336914,12.054082870483398,20.226675033569336,7.738789081573486
16.70516014099121,17.446731567382812,11.590630531311035,18.850299835205078,7.69587516784668
15.859065055847168,16.468942642211914,11.201001167297363,17.730478286743164,7.698230266571045
15.150274276733398,15.673052787780762,10.913887023925781,16.81522560119629,7.7369794845581055
