train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
wicket-farsec-train.csv,camelwicket-farsec-test.csv,multilayer_perceptron,455,0,18,27,0.0,5.6,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ambari-farsec-train.csv,chromiumambari-farsec-test.csv,logistic_regression,18945,54,57,3387,48.6,15.2,61.8,,,,,,,,,,,
ambari-farsec-train.csv,chromiumambari-farsec-test.csv,naive_bayes,15969,57,54,6363,51.4,28.5,59.8,,,,,,,,,,,
camel-farsec-train.csv,chromiumcamel-farsec-test.csv,naive_bayes,16433,52,59,5899,46.8,26.4,57.2,,,,,,,,,,,
camel-farsec-train.csv,chromiumcamel-farsec-test.csv,multilayer_perceptron,20552,39,72,1780,35.1,8.0,50.9,,,,,,,,,,,
wicket-farsec-train.csv,chromiumwicket-farsec-test.csv,naive_bayes,19427,39,72,2905,35.1,13.0,50.1,,,,,,,,,,,
derby-farsec-train.csv,chromiumderby-farsec-test.csv,multilayer_perceptron,21377,35,76,955,31.5,4.3,47.4,,,,,,,,,,,
wicket-farsec-train.csv,chromiumwicket-farsec-test.csv,logistic_regression,18959,27,84,3373,24.3,15.1,37.8,,,,,,,,,,,
derby-farsec-train.csv,chromiumderby-farsec-test.csv,naive_bayes,20544,26,85,1788,23.4,8.0,37.3,,,,,,,,,,,
ambari-farsec-train.csv,chromiumambari-farsec-test.csv,random_forest,21945,19,92,387,17.1,1.7,29.2,,,,,,,,,,,
camel-farsec-train.csv,chromiumcamel-farsec-test.csv,logistic_regression,21136,19,92,1196,17.1,5.4,29.0,,,,,,,,,,,
derby-farsec-train.csv,chromiumderby-farsec-test.csv,random_forest,21954,8,103,378,7.2,1.7,13.4,,,,,,,,,,,
derby-farsec-train.csv,chromiumderby-farsec-test.csv,logistic_regression,21493,6,105,839,5.4,3.8,10.2,,,,,,,,,,,
derby-farsec-train.csv,chromiumderby-farsec-test.csv,ib_k,21861,5,106,471,4.5,2.1,8.6,,,,,,,,,,,
ambari-farsec-train.csv,chromiumambari-farsec-test.csv,multilayer_perceptron,21579,5,106,753,4.5,3.4,8.6,,,,,,,,,,,
camel-farsec-train.csv,chromiumcamel-farsec-test.csv,ib_k,22233,4,107,99,3.6,0.4,7.0,,,,,,,,,,,
