tppx,wppx,tpp,wpp,baseline
8.908924102783203,6.246829509735107,9.14449405670166,15.954512596130371,1.6167842149734497
9.518723487854004,5.573505401611328,8.285971641540527,10.729945182800293,3.1071066856384277
8.8047456741333,5.296669006347656,7.640499591827393,8.485738754272461,3.417414665222168
8.047886848449707,5.115515232086182,7.023701190948486,7.224854946136475,3.473043441772461
7.527584552764893,4.8939313888549805,6.606409072875977,6.428898811340332,3.5364909172058105
7.0616044998168945,4.6822190284729,6.269588470458984,5.9308085441589355,3.6143674850463867
6.632750034332275,4.519078254699707,5.950542449951172,5.572209358215332,3.6306538581848145
6.30574893951416,4.396572113037109,5.7047553062438965,5.338128566741943,3.6666338443756104
6.063223361968994,4.309504508972168,5.503879070281982,5.1795148849487305,3.703171730041504
5.835799217224121,4.246588706970215,5.3323893547058105,5.040461540222168,3.7117526531219482
