train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,Target,Source,Top results,,,,,,,,,,pd-tpp,pd-tppx,pf-tpp,pf-tppx,g-measure-tpp,g-measure-tppx
camelderby-cross-train.csv,camelderby-cross-test.csv,ib_k,470,1,17,12,5.6,2.5,10.5,,,,,,,,,,,,,,5.6,16.7,4.4,12.9,10.5,28.0
camelambari-cross-train.csv,camelambari-cross-test.csv,multilayer_perceptron,461,1,17,21,5.6,4.4,10.5,,,,,,,,,,,,,,100.0,11.1,99.6,2.3,0.8,20.0
camelchromium-cross-train.csv,camelchromium-cross-test.csv,logistic_regression,2,18,0,480,100.0,99.6,0.8,,,,,,,,,,,,,,0.0,11.1,0.0,5.8,0.0,19.9
camelambari-cross-train.csv,camelambari-cross-test.csv,random_forest,482,0,18,0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,11.1,0.0,10.2,0.0,19.8
camelchromium-cross-train.csv,camelchromium-cross-test.csv,random_forest,482,0,18,0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,5.6,0.6,2.9,0.0,10.5
camelchromium-cross-train.csv,camelchromium-cross-test.csv,ib_k,479,0,18,3,0.0,0.6,0.0,,,,,,,,,,,,,,0.0,5.6,0.6,5.6,0.0,10.5
camelchromium-cross-train.csv,camelchromium-cross-test.csv,multilayer_perceptron,479,0,18,3,0.0,0.6,0.0,,,,,,,,,,,,,,0.0,0.0,0.4,0.2,0.0,0.0
camelderby-cross-train.csv,camelderby-cross-test.csv,random_forest,480,0,18,2,0.0,0.4,0.0,,,,,,,,,,,,,,0.0,0.0,3.3,2.3,0.0,0.0
camelwicket-cross-train.csv,camelwicket-cross-test.csv,logistic_regression,466,0,18,16,0.0,3.3,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
camelwicket-cross-train.csv,camelwicket-cross-test.csv,random_forest,482,0,18,0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
camelwicket-cross-train.csv,camelwicket-cross-test.csv,ib_k,482,0,18,0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,1.9,5.6,0.0,0.0
camelwicket-cross-train.csv,camelwicket-cross-test.csv,multilayer_perceptron,473,0,18,9,0.0,1.9,0.0,,,,,,,,,,,,,,36.9,48.6,7.0,15.2,52.9,61.8
,,,,,,,,,,,,,,,,,,,,,,,25.2,51.4,12.6,28.5,39.2,59.8
chromiumambari-cross-train.csv,chromiumambari-cross-test.csv,logistic_regression,20768,41,70,1564,36.9,7.0,52.9,,,,,,,,,,,,,,16.2,46.8,6.0,26.4,27.7,57.2
chromiumambari-cross-train.csv,chromiumambari-cross-test.csv,naive_bayes,19529,28,83,2803,25.2,12.6,39.2,,,,,,,,,,,,,,16.2,35.1,6.8,8.0,27.6,50.9
chromiumcamel-cross-train.csv,chromiumcamel-cross-test.csv,logistic_regression,20993,18,93,1339,16.2,6.0,27.7,,,,,,,,,,,,,,12.6,35.1,1.8,13.0,22.4,50.1
chromiumcamel-cross-train.csv,chromiumcamel-cross-test.csv,naive_bayes,20807,18,93,1525,16.2,6.8,27.6,,,,,,,,,,,,,,10.8,31.5,6.9,4.3,19.4,47.4
chromiumderby-cross-train.csv,chromiumderby-cross-test.csv,multilayer_perceptron,21927,14,97,405,12.6,1.8,22.4,,,,,,,,,,,,,,8.1,24.3,2.9,15.1,15.0,37.8
chromiumwicket-cross-train.csv,chromiumwicket-cross-test.csv,naive_bayes,20801,12,99,1531,10.8,6.9,19.4,,,,,,,,,,,,,,8.1,23.4,3.1,8.0,15.0,37.3
chromiumderby-cross-train.csv,chromiumderby-cross-test.csv,logistic_regression,21693,9,102,639,8.1,2.9,15.0,,,,,,,,,,,,,,6.3,17.1,1.4,1.7,11.9,29.2
chromiumderby-cross-train.csv,chromiumderby-cross-test.csv,naive_bayes,21630,9,102,702,8.1,3.1,15.0,,,,,,,,,,,,,,5.4,17.1,1.2,5.4,10.3,29.0
chromiumcamel-cross-train.csv,chromiumcamel-cross-test.csv,multilayer_perceptron,22025,7,104,307,6.3,1.4,11.9,,,,,,,,,,,,,,3.6,7.2,2.2,1.7,7.0,13.4
chromiumderby-cross-train.csv,chromiumderby-cross-test.csv,ib_k,22063,6,105,269,5.4,1.2,10.3,,,,,,,,,,,,,,2.7,5.4,0.2,3.8,5.3,10.2
chromiumambari-cross-train.csv,chromiumambari-cross-test.csv,multilayer_perceptron,21836,4,107,496,3.6,2.2,7.0,,,,,,,,,,,,,,0.9,4.5,0.3,2.1,1.8,8.6
chromiumcamel-cross-train.csv,chromiumcamel-cross-test.csv,ib_k,22292,3,108,40,2.7,0.2,5.3,,,,,,,,,,,,,,0.9,4.5,1.5,3.4,1.8,8.6
chromiumderby-cross-train.csv,chromiumderby-cross-test.csv,random_forest,22270,1,110,62,0.9,0.3,1.8,,,,,,,,,,,,,,0.9,3.6,2.2,0.4,1.8,7.0
chromiumwicket-cross-train.csv,chromiumwicket-cross-test.csv,logistic_regression,22006,1,110,326,0.9,1.5,1.8,,,,,,,,,,,,,,0.0,3.6,0.1,1.4,0.0,7.0
chromiumambari-cross-train.csv,chromiumambari-cross-test.csv,ib_k,21831,1,110,501,0.9,2.2,1.8,,,,,,,,,,,,,,0.0,2.7,0.0,0.5,0.0,5.3
chromiumambari-cross-train.csv,chromiumambari-cross-test.csv,random_forest,22317,0,111,15,0.0,0.1,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
chromiumcamel-cross-train.csv,chromiumcamel-cross-test.csv,random_forest,22332,0,111,0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
chromiumwicket-cross-train.csv,chromiumwicket-cross-test.csv,random_forest,22332,0,111,0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.3,0.3,0.0,0.0
