tppx,wppx,tpp,wpp,baseline
20.507280349731445,8.781207084655762,9.14449405670166,15.954512596130371,1.6167842149734497
15.305243492126465,6.898606777191162,8.285971641540527,10.729945182800293,3.1071066856384277
12.61971378326416,5.91906213760376,7.640499591827393,8.485738754272461,3.417414665222168
10.839011192321777,5.362704753875732,7.023701190948486,7.224854946136475,3.473043441772461
9.739901542663574,5.086052894592285,6.606409072875977,6.428898811340332,3.5364909172058105
8.844539642333984,4.952006816864014,6.269588470458984,5.9308085441589355,3.6143674850463867
8.147615432739258,4.864293575286865,5.950542449951172,5.572209358215332,3.6306538581848145
7.610684394836426,4.813215732574463,5.7047553062438965,5.338128566741943,3.6666338443756104
7.187315940856934,4.731908798217773,5.503879070281982,5.1795148849487305,3.703171730041504
6.835841178894043,4.637616157531738,5.3323893547058105,5.040461540222168,3.7117526531219482
